ILEC,CLEC
17.5,26.62
2.4,8.6
0,0
0.65,21.15
22.23,8.33
1.2,20.28
2.08,96.32
4.97,17.97
0,3.42
27.65,0.07
15.67,24.38
0,19.88
0.4,14.33
17.85,5.45
22.18,5.4
17.33,2.68
0,0
0,24.2
69.93,22.13
0,18.57
0,20
31.22,14.13
77.17,5.8
0,NA
4.08,NA
17.48,NA
24.2,NA
19.33,NA
3.52,NA
0,NA
22.5,NA
17.25,NA
0.42,NA
3.65,NA
2.07,NA
0,NA
0,NA
0,NA
0,NA
0,NA
191.6,NA
23.02,NA
19.88,NA
0,NA
0,NA
52.1,NA
23.4,NA
0,NA
43.03,NA
46.95,NA
0,NA
45.57,NA
22.15,NA
0.07,NA
0.07,NA
1.22,NA
91.02,NA
0.07,NA
74.05,NA
3.55,NA
4.32,NA
0.28,NA
3.05,NA
4.85,NA
0,NA
4.17,NA
40.25,NA
1.18,NA
54.28,NA
1.2,NA
0,NA
1.55,NA
3.22,NA
3.9,NA
5.7,NA
73.53,NA
28.87,NA
0,NA
0,NA
0,NA
0,NA
19.48,NA
18.52,NA
19.8,NA
23.6,NA
22.37,NA
22.45,NA
21.2,NA
0,NA
0,NA
19.45,NA
91.1,NA
21.27,NA
2.48,NA
3.82,NA
23.83,NA
22.7,NA
21.03,NA
23.3,NA
16.58,NA
6.03,NA
27.6,NA
29.12,NA
5.08,NA
0,NA
18.17,NA
0,NA
19.82,NA
0,NA
27.28,NA
21.38,NA
29.25,NA
48.23,NA
20.77,NA
22.3,NA
1.82,NA
1.98,NA
19.27,NA
27.15,NA
0.03,NA
16.63,NA
3.8,NA
3.77,NA
7.12,NA
0,NA
16.33,NA
20.5,NA
18.57,NA
24.7,NA
0,NA
22.28,NA
3.07,NA
0,NA
0,NA
0,NA
0,NA
0,NA
20.38,NA
0,NA
2.1,NA
1.22,NA
3.87,NA
0,NA
1.57,NA
0.43,NA
0,NA
16.8,NA
17.62,NA
0,NA
36.03,NA
0,NA
6.05,NA
1.82,NA
0,NA
0,NA
23.02,NA
0,NA
2.37,NA
20.35,NA
26.95,NA
0,NA
0,NA
6.07,NA
14.87,NA
4.5,NA
0.1,NA
0.4,NA
0.03,NA
1.7,NA
16.87,NA
1.43,NA
0.15,NA
0.05,NA
25.57,NA
0,NA
0,NA
5.58,NA
15.48,NA
0,NA
7.53,NA
0.38,NA
0,NA
0,NA
2.2,NA
0,NA
1.9,NA
0,NA
0,NA
30.72,NA
21.6,NA
0,NA
22.78,NA
2.18,NA
27.23,NA
0,NA
0.33,NA
13.88,NA
22.98,NA
5.92,NA
14.7,NA
5.13,NA
2.33,NA
0,NA
0.58,NA
19.68,NA
21.72,NA
8.28,NA
20.58,NA
23.95,NA
16.52,NA
0,NA
25.15,NA
50.57,NA
0,NA
0,NA
0,NA
15.22,NA
21.28,NA
6.23,NA
25.32,NA
29.98,NA
0.1,NA
25.13,NA
23.47,NA
7.03,NA
1.25,NA
18.67,NA
0,NA
0,NA
23.72,NA
24.72,NA
2.45,NA
4.25,NA
10.03,NA
17.98,NA
0,NA
24.52,NA
0,NA
59.43,NA
0.35,NA
22.52,NA
19.95,NA
0,NA
0,NA
0.18,NA
0,NA
0,NA
0.48,NA
0,NA
0,NA
0.05,NA
0.05,NA
0.32,NA
42.37,NA
0,NA
48.4,NA
0,NA
41.32,NA
50.77,NA
98.42,NA
21.92,NA
0,NA
0,NA
0.07,NA
70.05,NA
2.63,NA
0.02,NA
4.47,NA
5.3,NA
68.72,NA
1.88,NA
73.68,NA
0.25,NA
0.93,NA
0,NA
6.32,NA
57.38,NA
0,NA
0,NA
19.52,NA
19.67,NA
17.65,NA
24.17,NA
1.8,NA
21.37,NA
15.88,NA
18.47,NA
5.47,NA
28.57,NA
1.97,NA
6.07,NA
0,NA
0,NA
23.6,NA
24.18,NA
21.52,NA
22.22,NA
0,NA
14.22,NA
21.6,NA
24.58,NA
24.57,NA
23.25,NA
0,NA
0,NA
26.83,NA
24.2,NA
24.25,NA
1.62,NA
0,NA
171.35,NA
45.3,NA
26.27,NA
0,NA
18.18,NA
7.33,NA
40.1,NA
13,NA
0,NA
0,NA
0.02,NA
3.58,NA
29.78,NA
0,NA
32.85,NA
18.33,NA
17.9,NA
0,NA
30.37,NA
1.63,NA
0,NA
0.07,NA
27.83,NA
0,NA
17.62,NA
48.43,NA
27.38,NA
20.13,NA
18.57,NA
20.9,NA
21.33,NA
19.27,NA
0,NA
18.98,NA
19.62,NA
0,NA
0,NA
0,NA
0.35,NA
0,NA
45.83,NA
17.48,NA
0,NA
0,NA
26.68,NA
0,NA
6.1,NA
50.27,NA
0,NA
2.78,NA
0.03,NA
0,NA
24.97,NA
0,NA
0.27,NA
20.03,NA
0,NA
46,NA
2.47,NA
25.88,NA
2.8,NA
20.95,NA
1.45,NA
27.23,NA
18.98,NA
45.27,NA
5.32,NA
25.75,NA
3.82,NA
3.57,NA
3.12,NA
17.38,NA
17.42,NA
1.73,NA
27.33,NA
24.18,NA
15.28,NA
1.23,NA
25.67,NA
6.27,NA
0,NA
0,NA
6.37,NA
7.38,NA
26.37,NA
0,NA
2.53,NA
0.02,NA
5.77,NA
0,NA
0,NA
0,NA
48.58,NA
4.23,NA
0,NA
5.32,NA
5.17,NA
2.45,NA
0,NA
6.42,NA
15,NA
4.28,NA
18.85,NA
1.3,NA
0,NA
0,NA
27.13,NA
2.53,NA
23.53,NA
0,NA
0.27,NA
47.27,NA
36.85,NA
68.57,NA
0.48,NA
0,NA
2.95,NA
0.08,NA
2.38,NA
0,NA
2.83,NA
30.83,NA
5.53,NA
0,NA
0,NA
48.23,NA
0,NA
67.7,NA
0,NA
19.2,NA
0,NA
0,NA
0,NA
1.2,NA
0,NA
6.28,NA
0,NA
68.2,NA
0,NA
0,NA
20.93,NA
69.8,NA
3.7,NA
5.82,NA
0,NA
1.1,NA
7.83,NA
0,NA
102,NA
0,NA
2.38,NA
70.4,NA
0.07,NA
0,NA
1,NA
1.18,NA
22.2,NA
0.68,NA
0.12,NA
0,NA
23.03,NA
0.1,NA
0,NA
5.27,NA
5.12,NA
0,NA
1.95,NA
25.6,NA
81.23,NA
4.2,NA
12.28,NA
109.68,NA
0,NA
20.97,NA
0,NA
0,NA
0,NA
0,NA
0,NA
26.53,NA
3,NA
0,NA
19.8,NA
1.98,NA
20.42,NA
4.03,NA
22.27,NA
1.52,NA
0.7,NA
0,NA
0,NA
0,NA
139.58,NA
15.92,NA
6.32,NA
0,NA
21.25,NA
46.93,NA
19.65,NA
17.3,NA
0,NA
2.83,NA
0,NA
0.07,NA
19.02,NA
22.42,NA
1.18,NA
2.55,NA
0.63,NA
30.42,NA
0,NA
14.47,NA
0.03,NA
0.67,NA
4.6,NA
0.8,NA
0,NA
2.47,NA
27.7,NA
1.08,NA
0,NA
4.58,NA
0.55,NA
0,NA
2.43,NA
18.72,NA
1.67,NA
24.15,NA
19.45,NA
23.07,NA
17.32,NA
19.87,NA
16.53,NA
21.7,NA
22.32,NA
0,NA
3.97,NA
24.05,NA
21.77,NA
6.05,NA
6.1,NA
0,NA
16.4,NA
0,NA
16.92,NA
21.95,NA
2.08,NA
17.28,NA
2.5,NA
18.52,NA
20.4,NA
18.4,NA
0,NA
16.68,NA
0,NA
0,NA
22.83,NA
7.5,NA
0,NA
0,NA
23,NA
18.95,NA
15.25,NA
21.08,NA
5.85,NA
22.52,NA
0,NA
19.72,NA
22.27,NA
22.55,NA
5.35,NA
26.7,NA
0,NA
0,NA
18.18,NA
18.28,NA
0,NA
0.53,NA
0,NA
5.57,NA
2.2,NA
2.63,NA
14.58,NA
0.47,NA
0,NA
25.5,NA
19.27,NA
5.07,NA
4.57,NA
0,NA
0,NA
29.7,NA
19.1,NA
0,NA
5.35,NA
12.67,NA
0,NA
19.5,NA
1.05,NA
6.08,NA
21.87,NA
22.1,NA
24.97,NA
0,NA
0,NA
23.53,NA
2.53,NA
0.53,NA
16.08,NA
1.1,NA
18.38,NA
0,NA
22.75,NA
6.48,NA
23.6,NA
4.42,NA
0,NA
5.52,NA
30.9,NA
14.98,NA
3.75,NA
24.13,NA
3.28,NA
0,NA
5.12,NA
2.57,NA
12,NA
2.13,NA
1.38,NA
9.75,NA
0,NA
0,NA
22.22,NA
24.33,NA
24.63,NA
25.35,NA
20,NA
14.33,NA
14.25,NA
14.25,NA
14.22,NA
14.2,NA
14.2,NA
14.18,NA
14.17,NA
14.02,NA
13.8,NA
13.68,NA
13.65,NA
13.6,NA
12.95,NA
12.9,NA
12.87,NA
12.28,NA
11.95,NA
11.75,NA
11.27,NA
9.33,NA
9.25,NA
8.87,NA
8.43,NA
8.17,NA
7.67,NA
7.63,NA
7.63,NA
7.55,NA
7.5,NA
7.48,NA
7.37,NA
7.3,NA
7.25,NA
7.18,NA
7.17,NA
7.08,NA
7.08,NA
6.95,NA
6.93,NA
6.9,NA
6.9,NA
6.88,NA
6.85,NA
6.85,NA
6.83,NA
6.83,NA
6.7,NA
6.68,NA
6.63,NA
6.63,NA
6.63,NA
6.55,NA
6.52,NA
6.52,NA
6.5,NA
6.47,NA
6.47,NA
6.4,NA
6.35,NA
6.33,NA
6.27,NA
6.27,NA
6.27,NA
6.23,NA
6.22,NA
6.15,NA
6.15,NA
6.12,NA
6.1,NA
6.08,NA
6.07,NA
6.07,NA
6.03,NA
6.02,NA
6,NA
6,NA
5.98,NA
5.97,NA
5.95,NA
5.92,NA
5.92,NA
5.88,NA
5.87,NA
5.83,NA
5.78,NA
5.78,NA
5.73,NA
5.73,NA
5.73,NA
5.72,NA
5.72,NA
5.7,NA
5.68,NA
5.67,NA
5.67,NA
5.65,NA
5.65,NA
5.65,NA
5.63,NA
5.62,NA
5.6,NA
5.6,NA
5.58,NA
5.57,NA
5.55,NA
5.53,NA
5.53,NA
5.52,NA
5.5,NA
5.5,NA
5.43,NA
5.43,NA
5.43,NA
5.42,NA
5.37,NA
5.37,NA
5.33,NA
5.32,NA
5.3,NA
5.23,NA
5.23,NA
5.2,NA
5.2,NA
5.18,NA
5.18,NA
5.17,NA
5.15,NA
5.12,NA
5.07,NA
5.05,NA
5.05,NA
5.05,NA
5.03,NA
5,NA
5,NA
4.98,NA
4.97,NA
4.97,NA
4.95,NA
4.93,NA
4.93,NA
4.93,NA
4.92,NA
4.92,NA
4.92,NA
4.9,NA
4.88,NA
4.87,NA
4.85,NA
4.82,NA
4.8,NA
4.8,NA
4.77,NA
4.77,NA
4.75,NA
4.72,NA
4.7,NA
4.7,NA
4.7,NA
4.67,NA
4.65,NA
4.63,NA
4.62,NA
4.6,NA
4.6,NA
4.6,NA
4.6,NA
4.58,NA
4.58,NA
4.58,NA
4.58,NA
4.57,NA
4.57,NA
4.55,NA
4.53,NA
4.5,NA
4.47,NA
4.47,NA
4.47,NA
4.45,NA
4.45,NA
4.43,NA
4.43,NA
4.43,NA
4.43,NA
4.43,NA
4.42,NA
4.42,NA
4.4,NA
4.38,NA
4.38,NA
4.38,NA
4.38,NA
4.37,NA
4.37,NA
4.35,NA
4.33,NA
4.33,NA
4.33,NA
4.33,NA
4.32,NA
4.32,NA
4.32,NA
4.28,NA
4.28,NA
4.28,NA
4.28,NA
4.27,NA
4.27,NA
4.23,NA
4.22,NA
4.22,NA
4.2,NA
4.2,NA
4.2,NA
4.18,NA
4.18,NA
4.18,NA
4.17,NA
4.17,NA
4.17,NA
4.15,NA
4.13,NA
4.13,NA
4.13,NA
4.12,NA
4.12,NA
4.12,NA
4.12,NA
4.12,NA
4.1,NA
4.1,NA
4.1,NA
4.08,NA
4.08,NA
4.08,NA
4.07,NA
4.07,NA
4.05,NA
4.03,NA
4.03,NA
3.98,NA
3.98,NA
3.98,NA
3.95,NA
3.95,NA
3.95,NA
3.95,NA
3.95,NA
3.93,NA
3.93,NA
3.93,NA
3.93,NA
3.92,NA
3.92,NA
3.92,NA
3.87,NA
3.87,NA
3.87,NA
3.87,NA
3.85,NA
3.85,NA
3.85,NA
3.83,NA
3.8,NA
3.78,NA
3.78,NA
3.78,NA
3.78,NA
3.78,NA
3.77,NA
3.73,NA
3.73,NA
3.72,NA
3.72,NA
3.72,NA
3.7,NA
3.68,NA
3.68,NA
3.67,NA
3.65,NA
3.65,NA
3.65,NA
3.65,NA
3.65,NA
3.63,NA
3.62,NA
3.62,NA
3.6,NA
3.6,NA
3.6,NA
3.58,NA
3.53,NA
3.53,NA
3.52,NA
3.5,NA
3.5,NA
3.5,NA
3.5,NA
3.48,NA
3.48,NA
3.47,NA
3.43,NA
3.43,NA
3.42,NA
3.42,NA
3.4,NA
3.4,NA
3.35,NA
3.35,NA
3.35,NA
3.33,NA
3.33,NA
3.33,NA
3.32,NA
3.32,NA
3.3,NA
3.27,NA
3.25,NA
3.23,NA
3.22,NA
3.22,NA
3.22,NA
3.22,NA
3.18,NA
3.18,NA
3.17,NA
3.17,NA
3.15,NA
3.13,NA
3.13,NA
3.12,NA
3.12,NA
3.12,NA
3.12,NA
3.12,NA
3.1,NA
3.1,NA
3.08,NA
3.08,NA
3.07,NA
3.07,NA
3.05,NA
3.02,NA
3.02,NA
3.02,NA
3,NA
2.98,NA
2.98,NA
2.95,NA
2.95,NA
2.95,NA
2.95,NA
2.95,NA
2.93,NA
2.9,NA
2.9,NA
2.88,NA
2.88,NA
2.87,NA
2.65,NA
2.62,NA
2.62,NA
2.62,NA
2.62,NA
2.6,NA
0,NA
7.45,NA
6.8,NA
6.53,NA
6.4,NA
6.37,NA
6.37,NA
6.28,NA
5.97,NA
5.82,NA
5.78,NA
5.72,NA
5.48,NA
5.38,NA
5.17,NA
5,NA
4.55,NA
2.58,NA
2.57,NA
2.55,NA
2.55,NA
2.53,NA
2.52,NA
2.5,NA
2.48,NA
2.48,NA
2.48,NA
2.47,NA
2.47,NA
2.45,NA
2.43,NA
2.4,NA
2.4,NA
2.4,NA
2.4,NA
2.4,NA
2.4,NA
2.38,NA
2.37,NA
2.37,NA
2.37,NA
2.37,NA
2.35,NA
2.35,NA
2.33,NA
2.33,NA
2.32,NA
2.32,NA
2.32,NA
2.3,NA
2.28,NA
2.28,NA
2.28,NA
2.27,NA
2.25,NA
2.25,NA
2.25,NA
2.25,NA
2.25,NA
2.22,NA
2.22,NA
2.22,NA
2.2,NA
2.2,NA
2.2,NA
2.18,NA
2.17,NA
2.17,NA
2.15,NA
2.15,NA
2.13,NA
2.13,NA
2.12,NA
2.08,NA
2.08,NA
2.02,NA
2.02,NA
2.02,NA
2,NA
2,NA
2,NA
1.98,NA
1.98,NA
1.98,NA
1.98,NA
1.98,NA
1.98,NA
1.98,NA
1.97,NA
1.97,NA
1.95,NA
1.93,NA
1.93,NA
1.93,NA
1.93,NA
1.92,NA
1.9,NA
1.9,NA
1.77,NA
1.75,NA
1.75,NA
1.75,NA
1.75,NA
1.73,NA
1.73,NA
1.72,NA
1.7,NA
1.7,NA
1.7,NA
1.68,NA
1.65,NA
1.65,NA
1.65,NA
1.63,NA
1.62,NA
1.62,NA
1.62,NA
1.62,NA
1.6,NA
1.6,NA
1.6,NA
1.6,NA
1.6,NA
1.58,NA
1.58,NA
1.57,NA
1.57,NA
1.57,NA
1.57,NA
1.55,NA
1.55,NA
1.55,NA
1.55,NA
1.53,NA
1.53,NA
1.53,NA
1.52,NA
1.52,NA
1.5,NA
1.5,NA
1.5,NA
1.48,NA
1.48,NA
1.47,NA
1.45,NA
1.45,NA
1.43,NA
1.43,NA
1.43,NA
1.42,NA
1.4,NA
1.4,NA
1.38,NA
1.38,NA
1.37,NA
1.37,NA
1.37,NA
1.37,NA
1.35,NA
1.32,NA
1.32,NA
1.3,NA
1.28,NA
1.28,NA
1.28,NA
1.28,NA
1.25,NA
1.25,NA
1.25,NA
1.22,NA
1.22,NA
1.2,NA
1.2,NA
1.2,NA
1.18,NA
1.18,NA
1.18,NA
1.18,NA
1.17,NA
1.13,NA
1.12,NA
1.12,NA
1.12,NA
1.1,NA
1.1,NA
1.08,NA
1.08,NA
1.08,NA
1.08,NA
1.08,NA
1.07,NA
1.05,NA
1.05,NA
1.05,NA
1.03,NA
1.03,NA
1.03,NA
1.02,NA
1.02,NA
1,NA
0.98,NA
0.97,NA
0.95,NA
0.95,NA
0.95,NA
0.93,NA
0.92,NA
0.92,NA
0.9,NA
5.63,NA
4.95,NA
4.82,NA
4.8,NA
4.33,NA
4.22,NA
3.75,NA
3.13,NA
2.88,NA
2.72,NA
2.72,NA
2.57,NA
2.25,NA
1.5,NA
0.9,NA
4.17,NA
3,NA
2.7,NA
1.82,NA
0.9,NA
0.88,NA
0.88,NA
0.88,NA
0.87,NA
0.87,NA
0.87,NA
0.85,NA
0.85,NA
0.85,NA
0.83,NA
0.83,NA
0.8,NA
0.8,NA
0.8,NA
0.78,NA
0.78,NA
0.78,NA
0.77,NA
0.77,NA
0.75,NA
0.75,NA
0.75,NA
0.73,NA
0.73,NA
0.73,NA
0.73,NA
0.72,NA
0.72,NA
0.72,NA
0.7,NA
0.68,NA
0.68,NA
0.68,NA
0.68,NA
0.67,NA
0.67,NA
0.67,NA
0.67,NA
0.65,NA
0.65,NA
0.65,NA
0.62,NA
0.62,NA
0.62,NA
0.62,NA
0.6,NA
0.6,NA
0.58,NA
0.58,NA
0.55,NA
0.53,NA
0.53,NA
0.52,NA
0.5,NA
0.5,NA
0.48,NA
0.47,NA
0.47,NA
0.47,NA
0.45,NA
0.45,NA
0.45,NA
0.43,NA
0.43,NA
0.42,NA
0.38,NA
0.37,NA
0.35,NA
0.35,NA
0.33,NA
0.3,NA
0.25,NA
0.25,NA
0.25,NA
0.25,NA
0.25,NA
0.23,NA
0.22,NA
0.22,NA
21.25,NA
9.48,NA
7.47,NA
6.9,NA
6.45,NA
6.18,NA
5.73,NA
5.73,NA
5.73,NA
5.72,NA
5.7,NA
5.7,NA
5.7,NA
5.68,NA
5.05,NA
5.02,NA
5.02,NA
5.02,NA
0.2,NA
0.2,NA
0.18,NA
0.17,NA
0.15,NA
0.15,NA
0.15,NA
0.12,NA
0.12,NA
0.1,NA
0.08,NA
0.08,NA
0.07,NA
0.05,NA
0.03,NA
8,NA
7.33,NA
5.08,NA
5,NA
4.98,NA
4.97,NA
4.97,NA
4.97,NA
4.97,NA
4.95,NA
4.93,NA
4.92,NA
4.92,NA
4.9,NA
4.88,NA
4.88,NA
4.88,NA
4.85,NA
4.85,NA
4.18,NA
4.05,NA
4.03,NA
4.02,NA
4,NA
3.98,NA
3.97,NA
3.95,NA
3.95,NA
3.93,NA
3.93,NA
3.92,NA
3.88,NA
3.85,NA
3.85,NA
3.77,NA
3.7,NA
2.58,NA
2.58,NA
7.08,NA
0.65,NA
0.65,NA
0.63,NA
2.58,NA
2.53,NA
1.33,NA
2.4,NA
2.37,NA
2.35,NA
0.07,NA
0.07,NA
0.05,NA
0.08,NA
0.05,NA
0.03,NA
0.08,NA
0.07,NA
0.03,NA
0.07,NA
0.03,NA
0.03,NA
0.03,NA
0.05,NA
0.05,NA
6.77,NA
26.5,NA
15.18,NA
0,NA
0,NA
41.08,NA
18.02,NA
0.07,NA
8.17,NA
4.67,NA
7.82,NA
14.92,NA
44.15,NA
0,NA
0.07,NA
0.07,NA
9.17,NA
5.82,NA
0,NA
2.73,NA
0.05,NA
0.05,NA
0.53,NA
0.13,NA
46.7,NA
25.18,NA
1.03,NA
5.98,NA
1.22,NA
0.05,NA
0.05,NA
8.05,NA
7.52,NA
0.07,NA
0.07,NA
0.07,NA
3.02,NA
0.08,NA
0.08,NA
0.03,NA
65.1,NA
0,NA
0,NA
48.3,NA
44.43,NA
0.07,NA
0,NA
0,NA
4.02,NA
0.03,NA
0.05,NA
0.07,NA
0,NA
52.37,NA
28.85,NA
3.53,NA
0.1,NA
0,NA
6.4,NA
0.02,NA
0,NA
0,NA
0.95,NA
0,NA
67.62,NA
76.17,NA
0.07,NA
0.18,NA
24.37,NA
0,NA
0.87,NA
0,NA
0,NA
0,NA
22.73,NA
16.85,NA
21.57,NA
0.07,NA
0,NA
21.92,NA
19.32,NA
0.33,NA
25.63,NA
3.22,NA
16.73,NA
0,NA
24.1,NA
43.95,NA
16.18,NA
0,NA
19.45,NA
19.77,NA
18.92,NA
0.07,NA
3.33,NA
17.15,NA
4.5,NA
29.15,NA
0.05,NA
3.02,NA
42.6,NA
26.03,NA
0.67,NA
20.03,NA
0,NA
70.6,NA
21.03,NA
4.58,NA
3.07,NA
26.47,NA
26.5,NA
53.7,NA
22.25,NA
24.33,NA
5.15,NA
4.27,NA
0.17,NA
25.98,NA
0,NA
26.38,NA
3.12,NA
19.4,NA
0,NA
0,NA
1.82,NA
2.67,NA
1.65,NA
0.02,NA
0,NA
0,NA
19.77,NA
0,NA
25.63,NA
5.2,NA
2.88,NA
2.03,NA
0.5,NA
22.28,NA
0,NA
0.03,NA
22.62,NA
21.1,NA
17.8,NA
1.45,NA
4.3,NA
0.27,NA
3.85,NA
28.22,NA
0,NA
15.67,NA
16.63,NA
24.03,NA
0,NA
3.7,NA
27.05,NA
22.57,NA
1.07,NA
1.4,NA
51.68,NA
28.17,NA
19.77,NA
26.9,NA
16.53,NA
15.25,NA
0,NA
0,NA
0.12,NA
0.02,NA
22.08,NA
1.05,NA
0,NA
0,NA
0.4,NA
0.25,NA
16.88,NA
6.38,NA
0,NA
16.38,NA
0.43,NA
0,NA
0,NA
0.17,NA
1.85,NA
0,NA
25.17,NA
3.28,NA
21.88,NA
20.47,NA
0.02,NA
22.15,NA
0,NA
2.82,NA
74.6,NA
4.38,NA
0,NA
3.38,NA
0,NA
0,NA
0,NA
4.03,NA
6.42,NA
0.12,NA
3.95,NA
15.98,NA
5.35,NA
74.92,NA
19.43,NA
0,NA
0,NA
4.4,NA
0,NA
0,NA
0,NA
20.93,NA
23.92,NA
21.38,NA
0,NA
14.4,NA
0.52,NA
19.45,NA
22.63,NA
0.47,NA
46.37,NA
24.25,NA
0,NA
35.57,NA
0,NA
1.52,NA
6.65,NA
16.18,NA
0.25,NA
19.28,NA
0,NA
14.3,NA
18.58,NA
23.68,NA
0,NA
0,NA
0,NA
0,NA
0,NA
23.7,NA
25.42,NA
4.83,NA
3.6,NA
18.13,NA
